icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
4952b0;TAP117  ;Portugal;2025-05-22 22:22:04;2025-05-22 22:22:04;-49.2032;-22.542;12192.0;False;229.98;194.91;0.0;;12778.74;;False;0
4952b2;TAP209K ;Portugal;2025-05-22 22:21:58;2025-05-22 22:21:59;-66.4452;43.725;11582.4;False;229.37;248.56;0.0;;11711.94;;False;0
ac96df;JANET10 ;United States;2025-05-22 22:21:14;2025-05-22 22:21:14;-117.6782;35.7028;777.24;False;70.59;223.82;-4.88;;723.9;;False;0
ad3c1f;ASA434  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-77.4639;38.7159;1264.92;False;115.04;13.97;0.98;;1203.96;3614;False;0
abb3b6;AAL1953 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-88.17;36.0253;7315.2;False;211.71;248.92;0.0;;7490.46;2246;False;0
7c6b5b;SND812  ;Australia;2025-05-22 22:22:04;2025-05-22 22:22:04;115.8785;-29.6763;11490.96;False;262.94;1.23;4.23;;11711.94;4064;False;0
ad06f5;N9389A  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-87.8702;41.0233;3360.42;False;67.75;76.39;0.33;;3345.18;2117;False;0
a90375;N680CM  ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-97.7402;35.1817;1615.44;False;113.09;109.67;-10.73;;1653.54;;False;0
a2d2eb;ENY4266 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-100.2827;32.5221;8542.02;False;222.63;245.57;-0.98;;8999.22;4012;False;0
e4944e;TAM3688 ;Brazil;2025-05-22 22:20:44;2025-05-22 22:22:04;-42.5945;-22.6583;5844.54;False;216.63;76.82;9.75;;6195.06;;False;0
4952a2;TAP015  ;Portugal;2025-05-22 22:22:01;2025-05-22 22:22:02;-9.1413;38.765;;True;4.89;247.5;;;;;False;0
ac96fc;N910DF  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-111.5339;41.9772;11887.2;False;243.69;141.94;0.33;;12138.66;;False;0
7c6b73;VID     ;Australia;2025-05-22 22:22:03;2025-05-22 22:22:04;153.0144;-26.116;3901.44;False;62.03;239.61;2.28;;4091.94;1647;False;0
e49450;TAM3256 ;Brazil;2025-05-22 22:18:28;2025-05-22 22:18:28;-47.9167;-15.8726;;True;6.69;174.38;;;;;False;0
a58e1e;SWA3147 ;United States;2025-05-22 22:22:00;2025-05-22 22:22:04;-110.9962;35.5964;11887.2;False;256.63;93.33;0.0;;12390.12;;False;0
a2d2f2;AAY617  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-85.6555;38.6281;7071.36;False;195.66;353.66;-7.8;;7132.32;5255;False;0
a34e9d;DAL2445 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-96.155;30.4369;4396.74;False;188.09;126.21;-9.75;;4625.34;2576;False;0
ae13ac;SHINR81 ;United States;2025-05-22 22:21:56;2025-05-22 22:21:56;-97.5587;36.3947;3108.96;False;124.7;356.69;2.28;;3238.5;;False;0
ad90a3;AAL2502 ;United States;2025-05-22 22:22:03;2025-05-22 22:22:03;-81.4329;30.8594;8915.4;False;249.0;359.64;5.53;;9288.78;2661;False;0
a9038b;N680DJ  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-79.8144;36.1929;952.5;False;77.13;226.08;-0.33;;906.78;7516;True;0
ae13c4;VEGA21  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-97.7909;36.2867;3368.04;False;142.54;129.43;2.28;;3520.44;;False;0
40812d;;United Kingdom;2025-05-22 22:21:37;2025-05-22 22:21:37;17.6088;43.1511;10972.8;False;229.29;305.69;0.33;;;;False;0
acd3b8;N9254Y  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-80.2139;26.0127;243.84;False;53.5;313.05;0.33;;243.84;;False;0
ace6e2;AAL2474 ;United States;2025-05-22 22:18:38;2025-05-22 22:18:38;-97.0331;32.9069;;True;5.4;0.0;;;;;False;0
a34e97;DAL1077 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-72.7553;41.0098;2171.7;False;138.91;277.02;-0.33;;2087.88;3337;False;0
a46e6a;FFT3046 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-85.2053;34.3974;5844.54;False;234.71;142.3;-12.68;;6019.8;5451;False;0
ad4f86;JSX501  ;United States;2025-05-22 22:19:20;2025-05-22 22:19:20;-74.3612;41.5581;1013.46;False;120.94;260.7;-5.53;;1021.08;6675;False;0
a94b51;UAL1664 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-86.2245;40.8022;6903.72;False;208.68;307.69;-5.85;;6918.96;6732;False;0
0d0aca;VIV1093 ;Mexico;2025-05-22 22:22:04;2025-05-22 22:22:04;-98.1557;18.5451;9204.96;False;232.83;315.72;-11.05;;9860.28;;False;0
ab5169;N8283W  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-123.1844;45.0002;807.72;False;55.2;230.67;0.33;;838.2;;False;0
a17745;N194CM  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-94.0095;45.1431;1325.88;False;75.73;306.71;-0.65;;1348.74;;False;0
861f3c;ANA1075 ;Japan;2025-05-22 22:22:04;2025-05-22 22:22:04;138.8061;35.6312;8587.74;False;221.9;261.87;9.75;;8961.12;3301;False;0
0d0acd;AMX239  ;Mexico;2025-05-22 22:22:04;2025-05-22 22:22:04;-99.088;19.2516;3695.7;False;132.08;308.83;-6.18;;3916.68;;False;0
a69b92;ASA6    ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-97.36;38.273;10668.0;False;271.84;87.72;0.0;;10965.18;;False;0
